run: 1,,avg,,,,
1222898264,,1207065784,,,,
0.340475,,0.3360716,,,,
run: 2,,,,,,
1203082772,,,dgemm function (dimension),Clock Cycle,Total Second using gtod(),Total Second using TSC()
0.334964,,,100,435421.2,0.0001204,0.000108855
run: 3,,,200,3652720.2,0.0010156,0.00091318
1203116944,,,500,21530230.4,0.0059938,0.005382558
0.334973,,,1000,156456638,0.0435604,0.03911416
run: 4,,,2000,1207065784,0.3360716,0.301766446
1203150536,,,,,,
0.334983,,,,,,
run: 5,,,,,,
1203080404,,,,,,
0.334963,,,,,,